processes,24,48,96,144,48,96,192,288,96,192,384,576
nodes,2,4,8,12,2,4,8,12,2,4,8,12
ppn,12,12,12,12,24,24,24,24,48,48,48,48
4,9.16,18.39,29.07,35.70,11.12,23.16,31.10,40.67,29.25,50.67,60.90,61.82
8,8.73,13.69,15.37,19.53,11.12,19.43,22.57,29.33,24.82,30.93,43.63,61.74
16,8.09,12.94,16.00,17.40,10.81,18.02,22.46,29.50,19.13,30.30,43.84,62.18
32,9.80,12.37,14.72,20.68,12.48,18.44,23.08,29.91,20.29,31.02,43.67,61.18
64,9.61,13.46,17.20,23.01,12.02,18.98,23.78,31.22,20.29,32.18,44.68,62.15
128,11.49,15.09,25.54,22.07,14.91,21.45,26.45,33.58,21.76,34.38,47.06,64.62
256,13.03,18.72,22.40,24.11,16.24,24.03,30.81,38.95,23.43,38.04,53.74,73.16
512,14.00,19.13,22.17,25.45,18.09,26.16,33.70,43.20,25.73,43.85,65.54,89.77
1024,16.70,22.44,25.53,29.80,21.95,32.33,40.83,55.90,30.54,58.69,91.65,125.95
2048,21.84,29.00,33.37,41.06,29.79,47.05,62.65,87.76,46.10,90.30,140.90,196.54
4096,30.71,42.96,52.34,70.62,44.75,80.44,108.29,156.51,76.61,160.38,252.25,354.45
8192,64.11,88.52,101.93,133.69,96.87,158.00,212.01,308.23,142.84,314.16,477.13,722.72
16384,118.74,194.85,348.02,503.58,182.99,344.09,620.70,974.97,288.12,523.81,1035.51,1623.80
32768,161.13,247.98,379.04,537.98,246.88,406.37,748.33,1044.14,314.25,637.44,1058.59,1644.60
65536,237.43,336.63,468.16,640.39,345.74,563.24,1051.74,1093.05,398.76,655.18,1177.56,1667.61
131072,353.93,504.72,637.47,816.16,603.91,918.93,1069.71,1415.84,568.60,792.19,1268.25,1772.17
262144,723.99,755.77,962.81,1172.00,1020.76,1395.48,1555.48,2131.50,951.55,1425.47,1583.42,2080.56
524288,1341.41,1628.96,1508.56,1818.17,2074.17,1935.16,2346.56,3444.76,1801.77,2011.27,2306.33,2986.23
1048576,2647.38,3102.67,3201.80,3301.10,4014.24,4856.59,3676.42,5154.19,3678.94,3473.75,3906.44,4489.74
